1,Madrid ,3.141.991 ,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4167754,-3.7037902
2,Barcelona ,1.604.555 ,Barcelona ,Flag of Catalonia.svg Cataluña,41.3850639,2.1734035
3,Valencia ,786.189,Valencia ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,39.4699075,-0.3762881
4,Sevilla ,693.878,Sevilla ,Flag of Andalucía.svg Andalucía,37.3890924,-5.9844589
5,Zaragoza ,664.953,Zaragoza ,Flag of Aragon.svg Aragón,41.6488226,-0.8890853
6,Málaga ,569.13,Málaga ,Flag of Andalucía.svg Andalucía,36.721261,-4.4212655
7,Murcia ,439.889,Región de Murcia ,Flag of the Region of Murcia.svg Murcia,37.9922399,-1.1306544
8,Palma de Mallorca ,400.578,Islas Baleares ,Flag of the Balearic Islands.svg Islas Baleares,39.5696005,2.6501603
9,Las Palmas de Gran Canaria ,379.766,Las Palmas ,Flag of the Canary Islands (simple).svg Canarias,28.1235459,-15.4362574
10,Bilbao ,345.141,Vizcaya ,Flag of the Basque Country.svg País Vasco,43.2630126,-2.9349852
11,Alicante ,328.648,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.3459963,-0.4906855
12,Córdoba ,327.362,Córdoba ,Flag of Andalucía.svg Andalucía,37.8881751,-4.7793835
13,Valladolid ,303.905,Valladolid ,Flag of Castile and León.svg Castilla y León,41.652251,-4.724532099999999
14,Vigo ,294.098,Pontevedra ,Flag of Galicia.svg Galicia,42.24059889999999,-8.7207268
15,Gijón ,274.29,Principado de Asturias ,Flag of Asturias.svg Asturias,43.5322015,-5.6611195
16,Hospitalet de Llobregat ,252.171,Barcelona ,Flag of Catalonia.svg Cataluña,41.3661865,2.1164942
17,Vitoria ,243.918,Álava ,Flag of the Basque Country.svg País Vasco,42.8591656,-2.681791800000001
18,La Coruña ,243.87,La Coruña ,Flag of Galicia.svg Galicia,43.3623436,-8.4115401
19,Granada ,237.54,Granada ,Flag of Andalucía.svg Andalucía,37.1773363,-3.5985571
20,Elche ,227.312,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,38.2699329,-0.7125608
21,Oviedo ,221.87,Principado de Asturias ,Flag of Asturias.svg Asturias,43.3619145,-5.8493887
22,Cartagena ,216.301,Región de Murcia ,Flag of Spain.svg Región de Murcia,37.6256827,-0.9965839
23,Badalona ,215.654,Barcelona ,Flag of Catalonia.svg Cataluña,41.4469883,2.2450325
24,Tarrasa ,215.214,Barcelona ,Flag of Catalonia.svg Cataluña,41.563211,2.0088747
25,Jerez de la Frontera ,212.876,Cádiz ,Flag of Andalucía.svg Andalucía,36.6850064,-6.126074399999999
26,Sabadell ,207.814,Barcelona ,Flag of Catalonia.svg Cataluña,41.5462745,2.1086131
27,Móstoles ,206.263,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.3232129,-3.8676291
28,Santa Cruz de Tenerife ,203.811,S. C. de Tenerife ,Flag of the Canary Islands (simple).svg Canarias,28.4636296,-16.2518467
29,Alcalá de Henares ,198.75,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4819791,-3.3635421
30,Pamplona ,195.853,Comunidad Foral de Navarra ,Navarra,42.812526,-1.6457745
31,Fuenlabrada ,195.18,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.2902056,-3.8035477
32,Almería ,194.203,Almería ,Flag of Andalucía.svg Andalucía,36.834047,-2.4637136
33,Leganés ,186.907,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.3319506,-3.7686545
34,San Sebastián ,186.095,Guipúzcoa ,Flag of the Basque Country.svg País Vasco,43.318334,-1.9812313
35,Burgos ,177.1,Burgos ,Flag of Castile and León.svg Castilla y León,42.3439925,-3.696906
36,Getafe ,174.921,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.3082504,-3.7323934
37,Santander ,173.957,Cantabria ,Flag of Cantabria (Official).svg Cantabria,43.46230569999999,-3.8099803
38,Albacete ,172.121,Albacete ,Flag of Castile-La Mancha.svg Castilla-La Mancha,38.994349,-1.8585424
39,Castellón de la Plana ,171.669,Castellón ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,39.9863563,-0.0513246
40,Alcorcón ,167.136,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.3468454,-3.8278443
41,San Cristóbal de la Laguna ,152.843,S. C. de Tenerife ,Flag of the Canary Islands (simple).svg Canarias,28.4874009,-16.3159061
42,Logroño ,151.344,La Rioja ,Flag of La Rioja (with coat of arms).svg La Rioja,42.4627195,-2.4449852
43,Badajoz ,149.892,Badajoz ,Flag of Extremadura (with coat of arms).svg Extremadura,38.8794495,-6.9706535
44,Salamanca ,146.438,Salamanca ,Flag of Castile and León.svg Castilla y León,40.9701039,-5.663539699999999
45,Huelva ,146.318,Huelva ,Flag of Andalucía.svg Andalucía,37.261421,-6.9447224
46,Marbella ,139.537,Málaga ,Flag of Andalucía.svg Andalucía,36.510071,-4.8824474
47,Lérida ,138.542,Lérida ,Flag of Catalonia.svg Cataluña,41.6175899,0.6200146
48,Dos Hermanas ,131.317,Sevilla ,Flag of Andalucía.svg Andalucía,37.2865803,-5.924239099999999
49,Tarragona ,131.255,Tarragona ,Flag of Catalonia.svg Cataluña,41.1188827,1.2444909
50,León ,127.817,León ,Flag of Castile and León.svg Castilla y León,42.5987263,-5.5670959
51,Torrejón de Ardoz ,126.934,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4567552,-3.4754967
52,Parla ,125.056,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.232367,-3.768906
53,Mataró ,124.867,Barcelona ,Flag of Catalonia.svg Cataluña,41.5381124,2.4447406
54,Cádiz ,120.468,Cádiz ,Flag of Andalucía.svg Andalucía,36.5270612,-6.2885962
55,Algeciras ,118.92,Cádiz ,Flag of Andalucía.svg Andalucía,36.1407591,-5.456233
56,Santa Coloma de Gramanet ,116.95,Barcelona ,Flag of Catalonia.svg Cataluña,41.44458789999999,2.2103217
57,Jaén ,115.395,Jaén ,Flag of Andalucía.svg Andalucía,37.7795941,-3.784905699999999
58,Alcobendas ,113.055,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.5372512,-3.637224499999999
59,Orense ,106.231,Orense ,Flag of Galicia.svg Galicia,42.33578929999999,-7.863880999999998
60,Reus ,103.194,Tarragona ,Flag of Catalonia.svg Cataluña,41.1498259,1.1055321
61,Telde ,102.078,Las Palmas ,Flag of the Canary Islands (simple).svg Canarias,27.9955313,-15.4173726
62,Baracaldo ,100.228,Vizcaya ,Flag of the Basque Country.svg País Vasco,43.2969875,-2.9862029
63,Lugo ,98.56,Lugo ,Flag of Galicia.svg Galicia,43.0097384,-7.5567582
64,Gerona ,97.227,Gerona ,Flag of Catalonia.svg Cataluña,41.9794005,2.8214264
65,San Fernando ,96.335,Cádiz ,Flag of Andalucía.svg Andalucía,36.4718646,-6.196594800000001
66,Cáceres ,95.855,Cáceres ,Flag of Extremadura (with coat of arms).svg Extremadura,39.4752765,-6.3724247
67,Santiago de Compostela ,95.8,La Coruña ,Flag of Galicia.svg Galicia,42.8782132,-8.5448445
68,Las Rozas de Madrid ,92.784,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4935329,-3.8757916
69,Lorca ,91.759,Región de Murcia ,Flag of the Region of Murcia.svg Murcia,37.6735925,-1.6968357
70,Roquetas de Mar ,91.682,Almería ,Flag of Andalucía.svg Andalucía,36.7636819,-2.6154266
71,Torrevieja ,91.415,Alicante ,Flag of the Valencian Community (2x3).svg Comunidad Valenciana,37.9847003,-0.6808233
72,Coslada ,88.847,Comunidad de Madrid ,Flag of the Community of Madrid.svg Comunidad de Madrid,40.4260459,-3.5651646
73,El Puerto de Santa María ,88.7,Cádiz ,Flag of Andalucía.svg Andalucía,36.600595,-6.2329094
74,San Cugat del Vallés ,87.118,Barcelona ,Flag of Catalonia.svg Cataluña,41.4526016,2.0763253
75,Talavera de la Reina ,86.779,Toledo ,Flag of Castile-La Mancha.svg Castilla-La Mancha,39.962884,-4.830453599999999
76,Cornellá de Llobregat ,86.234,Barcelona ,Flag of Catalonia.svg Cataluña,41.3573827,2.0707159
77,Ceuta ,84.963,Ceuta ,Ceuta,35.8893874,-5.3213455
78,Melilla ,84.509,Melilla ,Flag of Melilla.svg Melilla,35.2922775,-2.9380973
